Dimension,Target Ratio,b,alpha,k,DW-PMAD Accuracy,PCA Accuracy,UMAP Accuracy,Isomap Accuracy,KernelPCA Accuracy,MDS Accuracy,Better Method
50,0.6,100,15,3,0.8722222222222222,0.8744444444444445,0.3377777777777778,0.43333333333333335,0.4122222222222222,0.7766666666666666,pca
50,0.4,100,12,6,0.7605555555555555,0.7538888888888889,0.365,0.47944444444444445,0.40444444444444444,0.7522222222222222,dw_pmad
50,0.4,100,10,6,0.7611111111111111,0.7538888888888889,0.365,0.47944444444444445,0.40444444444444444,0.7522222222222222,dw_pmad
50,0.4,100,20,6,0.7555555555555555,0.7538888888888889,0.365,0.47944444444444445,0.40444444444444444,0.7522222222222222,dw_pmad
50,0.4,100,15,6,0.7583333333333333,0.7538888888888889,0.365,0.47944444444444445,0.40444444444444444,0.7522222222222222,dw_pmad
50,0.6,100,20,15,0.9124444444444444,0.916,0.42977777777777776,0.5068888888888889,0.5733333333333334,0.8633333333333333,pca
50,0.6,100,8,6,0.8761111111111111,0.8727777777777778,0.365,0.5516666666666666,0.4816666666666667,0.8194444444444444,dw_pmad
50,0.6,100,10,6,0.8711111111111111,0.8727777777777778,0.365,0.5516666666666666,0.4816666666666667,0.8194444444444444,pca
50,0.6,100,12,6,0.87,0.8727777777777778,0.365,0.5516666666666666,0.4816666666666667,0.8194444444444444,pca
50,0.6,100,15,6,0.8716666666666667,0.8727777777777778,0.365,0.5516666666666666,0.4816666666666667,0.8194444444444444,pca
50,0.4,100,12,10,0.8093333333333333,0.8093333333333333,0.402,0.4846666666666667,0.4716666666666667,0.797,dw_pmad
50,0.4,100,10,10,0.808,0.8093333333333333,0.402,0.4846666666666667,0.4716666666666667,0.797,pca
50,0.4,100,20,10,0.8053333333333333,0.8093333333333333,0.402,0.4846666666666667,0.4716666666666667,0.797,pca
50,0.4,100,15,10,0.8096666666666666,0.8093333333333333,0.402,0.4846666666666667,0.4716666666666667,0.797,dw_pmad
50,0.6,100,8,10,0.8993333333333333,0.9046666666666666,0.39866666666666667,0.5183333333333333,0.5356666666666666,0.8456666666666667,pca
50,0.6,100,10,10,0.9036666666666666,0.9046666666666666,0.39866666666666667,0.5183333333333333,0.5356666666666666,0.8456666666666667,pca
50,0.6,100,12,10,0.9043333333333333,0.9046666666666666,0.39866666666666667,0.5183333333333333,0.5356666666666666,0.8456666666666667,pca
50,0.6,100,15,10,0.9063333333333333,0.9046666666666666,0.39866666666666667,0.5183333333333333,0.5356666666666666,0.8456666666666667,dw_pmad
50,0.4,100,12,15,0.83,0.8342222222222222,0.42844444444444446,0.49044444444444446,0.51,0.8244444444444444,pca
