Dimension,Target Ratio,b,alpha,k,DW-PMAD Accuracy,PCA Accuracy,Better Method,Difference
50,0.8,70,1,3,0.7294444444444445,0.7216666666666667,dw_pmad,0.007777778
50,0.65,50,25,6,0.6344444444444445,0.6275,dw_pmad,0.006944444
50,0.65,70,25,6,0.6288888888888889,0.6275,dw_pmad,0.001388889
50,0.8,50,1,6,0.7519444444444444,0.7486111111111111,dw_pmad,0.003333333
50,0.65,100,25,10,0.6708333333333333,0.6581666666666667,dw_pmad,0.012666667
50,0.8,50,10,10,0.778,0.775,dw_pmad,0.003
50,0.8,70,1,6,0.7588888888888888,0.7486111111111111,dw_pmad,0.010277778
50,0.65,50,25,10,0.6786666666666666,0.6581666666666667,dw_pmad,0.0205
50,0.65,70,25,10,0.6776666666666666,0.6581666666666667,dw_pmad,0.0195
50,0.8,85,1,10,0.7758333333333334,0.775,dw_pmad,0.000833333
50,0.8,50,1,10,0.784,0.775,dw_pmad,0.009
50,0.8,70,10,10,0.7816666666666666,0.775,dw_pmad,0.006666667
50,0.65,100,25,15,0.7007777777777778,0.6977777777777778,dw_pmad,0.003
50,0.8,50,10,15,0.8031111111111111,0.7943333333333333,dw_pmad,0.008777778
50,0.65,100,5,3,0.5961111111111111,0.5788888888888889,dw_pmad,0.017222222
50,0.8,70,1,10,0.7798333333333334,0.775,dw_pmad,0.004833333
50,0.65,50,25,15,0.7086666666666667,0.6977777777777778,dw_pmad,0.010888889
50,0.65,70,25,15,0.7047777777777777,0.6977777777777778,dw_pmad,0.007
50,0.8,85,1,15,0.7988888888888889,0.7943333333333333,dw_pmad,0.004555556
50,0.8,50,1,15,0.8001111111111111,0.7943333333333333,dw_pmad,0.005777778
50,0.8,70,10,15,0.8034444444444444,0.7943333333333333,dw_pmad,0.009111111
50,0.65,100,5,6,0.6302777777777778,0.6275,dw_pmad,0.002777778
50,0.8,100,1,15,0.7981111111111111,0.7943333333333333,dw_pmad,0.003777778
50,0.8,70,1,15,0.8081111111111111,0.7943333333333333,dw_pmad,0.013777778
50,0.8,100,10,15,0.7947777777777778,0.7943333333333333,dw_pmad,0.000444444
50,0.65,50,5,3,0.5911111111111111,0.5788888888888889,dw_pmad,0.012222222
50,0.65,100,5,10,0.6705,0.6581666666666667,dw_pmad,0.012333333
50,0.65,85,25,3,0.5883333333333334,0.5788888888888889,dw_pmad,0.009444444
50,0.65,70,5,3,0.6022222222222222,0.5788888888888889,dw_pmad,0.023333333
50,0.65,50,5,6,0.6358333333333334,0.6275,dw_pmad,0.008333333
50,0.65,100,5,15,0.7048888888888889,0.6977777777777778,dw_pmad,0.007111111
50,0.65,85,5,3,0.5883333333333334,0.5788888888888889,dw_pmad,0.009444444
50,0.65,85,25,6,0.6394444444444445,0.6275,dw_pmad,0.011944444
50,0.65,70,5,6,0.6419444444444444,0.6275,dw_pmad,0.014444444
50,0.8,85,10,10,0.7755,0.775,dw_pmad,0.0005
50,0.65,50,5,10,0.6758333333333333,0.6581666666666667,dw_pmad,0.017666667
50,0.65,85,5,6,0.6280555555555556,0.6275,dw_pmad,0.000555556
50,0.65,85,25,10,0.6723333333333333,0.6581666666666667,dw_pmad,0.014166667
50,0.65,70,5,10,0.684,0.6581666666666667,dw_pmad,0.025833333
50,0.8,85,10,15,0.7994444444444444,0.7943333333333333,dw_pmad,0.005111111
50,0.65,50,5,15,0.7085555555555556,0.6977777777777778,dw_pmad,0.010777778
50,0.65,85,5,10,0.6793333333333333,0.6581666666666667,dw_pmad,0.021166667
50,0.65,85,25,15,0.7008888888888889,0.6977777777777778,dw_pmad,0.003111111
50,0.65,70,5,15,0.7116666666666667,0.6977777777777778,dw_pmad,0.013888889
50,0.65,85,5,15,0.7083333333333334,0.6977777777777778,dw_pmad,0.010555556
50,0.8,50,25,3,0.7261111111111112,0.7216666666666667,dw_pmad,0.004444444
50,0.8,100,25,3,0.7238888888888889,0.7216666666666667,dw_pmad,0.002222222
50,0.8,70,25,3,0.7244444444444444,0.7216666666666667,dw_pmad,0.002777778
50,0.8,50,25,6,0.7544444444444445,0.7486111111111111,dw_pmad,0.005833333
50,0.8,85,5,3,0.7222222222222222,0.7216666666666667,dw_pmad,0.000555556
50,0.8,70,25,6,0.7505555555555555,0.7486111111111111,dw_pmad,0.001944444
50,0.8,50,5,3,0.7372222222222222,0.7216666666666667,dw_pmad,0.015555556
50,0.8,50,25,10,0.781,0.775,dw_pmad,0.006
50,0.8,70,5,3,0.7283333333333334,0.7216666666666667,dw_pmad,0.006666667
50,0.8,70,25,10,0.7753333333333333,0.775,dw_pmad,0.000333333
